id,title,release_date,vote_average,vote_count,popularity,original_language,genre_ids,poster_path
950396,The Gorge,2025-02-13,7.8,1656,2192.325,en,"[10749, 878, 53]",/7iMBZzVZtG0oBug4TfqDb9ZxAOa.jpg
1126166,Flight Risk,2025-01-22,6.032,376,2084.876,en,"[28, 53, 80]",/4cR3hImKd78dSs652PAkSAyJ5Cx.jpg
1064213,Anora,2024-10-14,7.095,1388,1634.892,en,"[18, 35, 10749]",/qh8m8Udz0sCa5gy9VaqfHPh0yPM.jpg
822119,Captain America: Brave New World,2025-02-12,6.2,866,1164.322,en,"[28, 53, 878]",/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg
823219,Flow,2024-08-29,8.3,1324,1015.914,lv,"[16, 14, 12]",/imKSymKBK7o73sajciEmndJoVkR.jpg
1084199,Companion,2025-01-22,7.06,653,860.477,en,"[27, 878, 53]",/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg
1160956,Panda Plan,2024-10-01,7.075,147,789.972,zh,"[28, 35]",/xVS9XiO9upp2SnWx6KpBYb79hLR.jpg
696506,Mickey 17,2025-02-28,7.2,51,666.077,en,"[878, 35, 12, 28]",/lrCcovGRcuv8Z1v3ae1ZH5Ird05.jpg
933260,The Substance,2024-09-07,7.1,4073,566.943,en,"[27, 878]",/cGm2qnmXx9tFabmzEIkJZjCJdQd.jpg
1064486,Memoir of a Snail,2024-10-17,7.8,234,541.522,en,"[16, 18, 35]",/lWh5OlerPR1c1cfn1ZLq0lpqFds.jpg
549509,The Brutalist,2024-12-20,7.082,722,532.735,en,[18],/vP7Yd6couiAaw9jgMd5cjMRj3hQ.jpg
774370,Dog Man,2025-01-24,7.8,140,525.237,en,"[10751, 16, 35, 28]",/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg
974576,Conclave,2024-10-25,7.2,1530,485.836,en,"[18, 53, 9648]",/m5x8D0bZ3eKqIVWZ5y7TnZ2oTVg.jpg
1249289,Alarum,2025-01-16,5.752,218,461.067,en,"[28, 80, 53]",/v313aUGmMNj6yNveaiQXysBmjVS.jpg
1201012,Dhoom Dhaam,2025-02-13,6.5,22,425.655,hi,"[35, 10749, 28]",/2E7me3rPi8HqaeheuD86YlpNX6k.jpg
402431,Wicked,2024-11-20,6.9,1876,421.453,en,"[18, 10749, 14]",/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg
1294203,My Fault: London,2025-02-12,7.468,285,413.762,en,"[10749, 18]",/ttN5D6GKOwKWHmCzDGctAvaNMAi.jpg
661539,A Complete Unknown,2024-12-18,7.174,627,372.575,en,"[18, 10402]",/llWl3GtNoXosbvYboelmoT459NM.jpg
1184918,The Wild Robot,2024-09-12,8.3,4452,362.923,en,"[16, 878, 10751]",/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg
516729,Paddington in Peru,2024-11-08,6.803,191,336.309,en,"[10751, 12, 35]",/1ffZAucqfvQu36x1C49XfOdjuOG.jpg
